,,Degree,,,,,,Master,,,,,,,Doctor Degree,,,,,,Atuação Profissional,,,,Acacia (cons. em 18/7/24),,,,,,,,,
Surname,Name,CourseG,InstitutionG,StartG,EndG,2nd CourseG,2nd Institution,CourseM,InstitutionM,AdvisorM,StartM,EndM,2nd CourseM,2nd InstitutionM,CourseD,CountryD,InstitutionD,AdvisorD,StartD,EndD,InstitutionP,StartP,EndP,2nd InstitutionP,Ds,IG,OBS,entries_sian,BR_DFANBSB_N8_ou_V8_entries_50_79,,,,,
Melo,Rubens Nascimento,Eng. Eletrônica,ITA,1964,1968,,,Ciência da Computação,ITA,Sergio Roberto Pinto Teixeira,1969,1971,,,Ciência da Computação,BR,ITA,Sergio Roberto Pinto Teixeira,1973,1976,PUC-Rio,1973,,,648,9,,0,,,,,,
Teixeira,Sergio Roberto Pinto,Eng. Eletrônica,ITA,,1966,,,Ciência da Computação,Univ. Califórnia at Berkeley,,,1968,,,Ciência da Computação,US,Univ. Califórnia at Berkeley,,,1970,PUC-Rio,,,INPE,148,1,,0,,,,,,
Freire,Firmo,Eng. Eletrônica,PUC-Rio,,1966,,,Eng. Elétrica,PUC-Rio,Mario Dias Ripper,1967,1969,Computer Science,"Univ. de Houston, Texas",Computer Science,US,"Univ. de Houston, Texas",John J Lenahan,1972,1973,PUC-Rio,,,,569,2,outro mestrado pela Houston Univ. em 1972,0,(reg. se refere ao gal. firmo freire do nascimento),,,,,
Leenhardt,Renaud Pierre,,,,,,,Informática,PUC-Rio,Larry Kerschberg,,1973,,,,,,,,,,,,,0,0,,0,,,,,,
Monard,Maria Carolina,Licenciatura em Matemática e Física,Profesorado Roque Saenz Peña (Arg.),1959,1962,,,Comp. Sc.,Univ. of Southampton,David Barron,1968,1969,,,Informática,BR,PUC-Rio,Gaston Gonnet,1976,1980,ICMC USP,1975,2022,,667,10,,0,,,,,,
Arcela Jr.,Aluizio,Eng. Elétrica,PUC-Rio,1969,1974,,,Eng. Elétrica,PUC-Rio,Paulo Léo Osório,1975,1977,,,Informática,BR,PUC-Rio,Roberto Lins de Carvalho,1981,1984,UnB,1984,,,255,3,,0,,,,,,
Ribeiro,Celso Da Cruz Carneiro,Engenharia de Computação,PUC-Rio,1972,1976,,,Engenharia de Sistemas e Computação,UFRJ,Nelson Maculan Filho,1976,1978,,,Informática,FR,Ecole Nationale Superieure des Telecommunications,Michel Minoux,1981,1983,PUC-Rio,1983,2007,,478,11,,0,,,,,,
Barreto,Jorge Muniz,Eng. Eletrônica,ITA,1957,1961,,,Sciences Aéronautiques,Ecole Nationale Supérieure de L'aéronautique,Delmas,1963,1964,,,Sciences Appliquées,BE,Université Libre de Bruxelles,Jean Charles,1967,1970,IME,1961,1980,UFSC,1317,9,,2,influência dos meios de comunicação de massa (no caso a BARSA),,,,,
Omar,Nizam,Eng. Mecânica,ITA,1970,1974,,,Matemática Aplicada Informática,ITA,Tamio Shimizu,1975,1979,,,Informática,BR,PUC-Rio,Roberto Lins de Carvalho,1982,1989,ITA,1975,2002,Mackenzie,361,6,,0,,,,,,
Nakanishi,Tatuo,Eng. Elétrica,UF Itajubá,1966,1970,,,Eng. Elétrica,UF Itajubá,José Abel Royo dos Santos,1970,1972,,,Informática,BR,PUC-Rio,Daniel Alberto Menascé,1978,1981,INPE,1985,1996,,88,3,,0,,,,,,
